NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [2.362776845672696, 1.308041302174272]
NEAREST OBJECT: [0.13931985954873502, -0.3661620114322452]
NEAREST OBJECT: [0.13896159940708253, -0.36573669917540025]
NEAREST OBJECT: [0.14278366891749567, -0.367059847944171]
NEAREST OBJECT: [0.14003032121123804, -0.36438684147924105]
NEAREST OBJECT: [0.14120209110376594, -0.36368632870018164]
NEAREST OBJECT: [0.13885599322976208, -0.36234592949845595]
NEAREST OBJECT: [0.13520846688419275, -0.35840246561067324]
NEAREST OBJECT: [0.13044028471705077, -0.34805422494045285]
NEAREST OBJECT: [0.13293596242448766, -0.35022849087373675]
NEAREST OBJECT: [0.14505713243890794, -0.35484932200466635]
NEAREST OBJECT: [0.13466644652243726, -0.3477478146414557]
NEAREST OBJECT: [0.13126426831043678, -0.3408694627384512]
NEAREST OBJECT: [0.13282199372511497, -0.34231572767543034]
NEAREST OBJECT: [0.13365539324754233, -0.34474960603873767]
NEAREST OBJECT: [0.13062576035901322, -0.34705543005403483]
NEAREST OBJECT: [0.13570941964550637, -0.35437186690148625]
NEAREST OBJECT: [0.13402483288263345, -0.3603681248352969]
NEAREST OBJECT: [0.14287652508776105, -0.36454869264447554]
NEAREST OBJECT: [0.1469133753623992, -0.35899055127039364]
NEAREST OBJECT: [0.14962742321155945, -0.35728568395709065]
NEAREST OBJECT: [0.13967825731468408, -0.3549378137504565]
NEAREST OBJECT: [0.14284777315059108, -0.355773479291251]
NEAREST OBJECT: [0.14375257184973367, -0.360745333255299]
NEAREST OBJECT: [0.14610995624687706, -0.3646216806353668]
NEAREST OBJECT: [0.13855949692133765, -0.36260033890317017]
NEAREST OBJECT: [0.14239023573094475, -0.36797498265931056]
NEAREST OBJECT: [0.14122722355883408, -0.3588393136762266]
NEAREST OBJECT: [0.13984388298060801, -0.35957165387088147]
NEAREST OBJECT: [0.13884057951914372, -0.35995878299240774]
NEAREST OBJECT: [0.13643945571782892, -0.3661586626846551]
NEAREST OBJECT: [0.14089811038483507, -0.36422434924466685]
NEAREST OBJECT: [0.14609342022130975, -0.3646832873463114]
NEAREST OBJECT: [0.14711365812921537, -0.36049320424612497]
